Station;Longitude;Latitude;Elevation;Gravity
71  ;         -49.88541667;  -16.59791667;  6.480000E+02;  9.782391666035E+05
72  ;         -49.88125000;  -16.59791667;  6.400000E+02;  9.782413167682E+05
73  ;         -49.87708333;  -16.59791667;  6.310000E+02;  9.782438224966E+05
74  ;         -49.87291667;  -16.59791667;  6.210000E+02;  9.782466799123E+05
75  ;         -49.86875000;  -16.59791667;  6.110000E+02;  9.782495777451E+05
76  ;         -49.86458333;  -16.59791667;  6.020000E+02;  9.782522040290E+05
77  ;         -49.86041667;  -16.59791667;  6.160000E+02;  9.782477969724E+05
78  ;         -49.85625000;  -16.59791667;  6.400000E+02;  9.782403384749E+05
79  ;         -49.85208333;  -16.59791667;  6.340000E+02;  9.782421111374E+05
80  ;         -49.84791667;  -16.59791667;  6.240000E+02;  9.782451255994E+05
81  ;         -49.84375000;  -16.59791667;  6.360000E+02;  9.782413835516E+05
82  ;         -49.83958333;  -16.59791667;  6.590000E+02;  9.782342568996E+05
83  ;         -49.83541667;  -16.59791667;  6.710000E+02;  9.782305054157E+05
84  ;         -49.83125000;  -16.59791667;  6.760000E+02;  9.782288962671E+05
85  ;         -49.82708333;  -16.59791667;  6.830000E+02;  9.782266570180E+05
86  ;         -49.82291667;  -16.59791667;  6.890000E+02;  9.782247069271E+05
87  ;         -49.81875000;  -16.59791667;  6.840000E+02;  9.782261212180E+05
88  ;         -49.81458333;  -16.59791667;  6.910000E+02;  9.782238175947E+05
89  ;         -49.81041667;  -16.59791667;  7.390000E+02;  9.782088646350E+05
90  ;         -49.80625000;  -16.59791667;  7.360000E+02;  9.782095852540E+05
91  ;         -50.17291667;  -16.59375000;  6.090000E+02;  9.782834184236E+05
92  ;         -50.16875000;  -16.59375000;  6.060000E+02;  9.782838337281E+05
93  ;         -50.16458333;  -16.59375000;  6.120000E+02;  9.782814822523E+05
94  ;         -50.16041667;  -16.59375000;  6.110000E+02;  9.782813123952E+05
95  ;         -50.15625000;  -16.59375000;  6.240000E+02;  9.782768428577E+05
96  ;         -50.15208333;  -16.59375000;  6.410000E+02;  9.782711676418E+05
97  ;         -50.14791667;  -16.59375000;  6.650000E+02;  9.782633650236E+05
98  ;         -50.14375000;  -16.59375000;  6.550000E+02;  9.782660899130E+05
99  ;         -50.13958333;  -16.59375000;  6.390000E+02;  9.782707014312E+05
100 ;         -50.13541667;  -16.59375000;  6.510000E+02;  9.782667129932E+05
101 ;         -50.13125000;  -16.59375000;  6.580000E+02;  9.782643078885E+05
102 ;         -50.12708333;  -16.59375000;  6.490000E+02;  9.782668797324E+05
103 ;         -50.12291667;  -16.59375000;  6.420000E+02;  9.782688764435E+05
104 ;         -50.11875000;  -16.59375000;  6.310000E+02;  9.782721488807E+05
105 ;         -50.11458333;  -16.59375000;  6.170000E+02;  9.782763881532E+05
106 ;         -50.11041667;  -16.59375000;  6.270000E+02;  9.782732617610E+05
107 ;         -50.10625000;  -16.59375000;  6.220000E+02;  9.782748003101E+05
108 ;         -50.10208333;  -16.59375000;  6.140000E+02;  9.782772990020E+05
109 ;         -50.09791667;  -16.59375000;  6.280000E+02;  9.782730351864E+05
110 ;         -50.09375000;  -16.59375000;  6.410000E+02;  9.782691029569E+05
