Alt,Bouguer,C_Bouguer,Date,drift,Elevation,FreeAir,GravCor,Gravity,Ice,LatCor,Latitude,Longitude,NAME_LAT_Y_LAT_X_ELEV_Z_G_HR_TEMP,Reading,Slope,Station,Terrain,tide,Time,Type,Water,X,Y
0,-72.0059116214277,-72.0059116214277,2023/07/15,1.5943683443779,749.009,11.8539142833754,-219.287267080625,978224.514612481,0,978443.801879562,-16.3869356819864,-49.9621210251349,csg10_001 8187979.953 610833.211 749.009 4495.238 09:32:41 226.75,4495.238,0,csg10_001,0,0.0196417886763811,09:32:41,0,0,610833.211,8187979.953
0,-69.5230244777051,-69.5230244777051,2023/07/15,2.02128929444667,796.077,19.6065836135433,-226.059594278457,978217.706953855,0,978443.766548134,-16.386211897594,-49.9678381551975,csg10_002 8188063.14 610223.04 796.077 4488.418 10:01:19 226.72,4488.418,0,csg10_002,0,0.0319831632077694,10:01:19,0,0,610223.04,8188063.14
0,-72.3274178261068,-72.3274178261068,2023/07/15,2.54487628035755,764.537,13.2709390932098,-222.66212095879,978220.923469188,0,978443.585590146,-16.3825044242225,-49.9631058274035,csg10_003 8188470.737 610730.539 764.537 4491.624 10:36:26 226.78,4491.624,0,csg10_003,0,0.0424984954297543,10:36:26,0,0,610730.539,8188470.737
0,-71.3318597059876,-71.3318597059876,2023/07/15,6.13170805759424,734.446,10.8974775869942,-215.749620229006,978230.21899719,0,978445.968617419,-16.4312683227437,-49.9667881607286,csg10_005 8183077.802 610309.782 734.446 4500.995 14:37:00 226.76,4500.995,0,csg10_005,0,-0.0329735018312931,14:37:00,0,0,610309.782,8183077.802
0,-72.7080014830495,-72.7080014830495,2023/07/15,6.59913431317011,694.596,5.05968840341731,-209.289858812583,978236.632547527,0,978445.922406339,-16.4303239292508,-49.9640486062501,csg10_006 8183180.79 610602.829 694.596 4507.425 15:08:21 226.75,4507.425,0,csg10_006,0,-0.0494231656193733,15:08:21,0,0,610602.829,8183180.79
0,-74.739305053913,-74.739305053913,2023/07/15,7.00915734437702,672.365,0.539378973225467,-206.949770566775,978239.055513312,0,978446.005283878,-16.4320176230911,-49.9590648271956,csg10_007 8182990.681 611134.006 672.365 4509.86 15:35:51 226.74,4509.86,0,csg10_007,0,-0.0614573806524277,15:35:51,0,0,611134.006,8182990.681
0,-77.4032013248219,-77.4032013248219,2023/07/15,7.45347321092124,703.841,1.39956836774857,-215.802948868251,978230.584074894,0,978446.387023762,-16.4398168949806,-49.9560379748049,csg10_008 8182126.149 611452.745 703.841 4501.398 16:05:39 226.75,4501.398,0,csg10_008,0,-0.0708957985043526,16:05:39,0,0,611452.745,8182126.149
0,-76.0373683180367,-76.0373683180367,2023/07/15,7.85976876002627,721.347,4.72539132430674,-217.879407487693,978228.828473482,0,978446.70788097,-16.4463697380855,-49.965244778635,csg10_009 8181406.227 610466.035 721.347 4499.647 16:32:54 226.76,4499.647,0,csg10_009,0,-0.0754972100257874,16:32:54,0,0,610466.035,8181406.227
0,-53.0223134306546,-53.0223134306546,2023/07/06,-0.0000660380476468353,882.687,45.804240253524,-226.589437198476,978219.024025058,0,978445.613462256,-16.4240089478926,-49.9963689657986,csg2_001 8183896.812 607155.32 882.687 4486.749 09:09:12 226.63,4486.749,0,csg2_001,0,-0.0819566547870636,09:09:12,0,0,607155.32,8183896.812
0,-54.986226370232,-54.986226370232,2023/07/06,-0.0000799273567208266,892.382,44.925789587627,-230.459726084373,978215.202399658,0,978445.662125743,-16.4250037987024,-49.9941980623063,csg2_002 8183785.599 607386.576 892.382 4482.926 09:27:20 226.78,4482.926,0,csg2_002,0,-0.0805681645870209,09:27:20,0,0,607386.576,8183785.599
